	Expression1	Expression2
CYFIP1	0.52511	0.22035
SH2B3	-0.28226268	1.21325
SAP18	1.4446032	-0.32315
LPAR6	0.22902086	1.4310501
SYT13	0.31742948	3.96315
B4GALT4	0.6636381	0.65929997
HDGF	0.4147817	1.2507501
CPM	2.1538434	4.91085
PFN2	-0.6140969	0.0060500056
NTRK2	-0.15611938	-0.30825
FBXW7	0.33570293	-0.46809998
CLOCK	-2.0553393	-1.45135
GTF3C1	-0.30690175	-1.5316
OAS1	-0.38291293	-0.84535
THBD	-1.2294427	-0.431
KLRD1	0.055296026	3.6103501
ACOX2	1.5579797	0.08945
WDR1	0.4506217	-1.5348
MBIP	2.505156	1.3170999
MRPS16	1.5414658	-4.3518
CCT3	-0.3671312	-3.92215
TXNIP	1.1979239	1.6128
FAM98A	-0.81921303	-4.3546
PRKD1	2.3674848	3.4504
PBX1	0.73003864	2.4242
FRS2	1.2405076	6.07535
DTL	-0.65545213	-2.50805
NKX3-1	-2.5008621	-7.9715
POLR3D	-2.0036736	-5.3989496
HCFC1	-0.28621623	-3.37045
CLDN3	1.9008532	3.0561
RUNX3	-1.7953173	-2.33415
DDX17	-0.6333044	-1.9825
ASXL2	-2.6508908	-5.0979
CD59	1.096621	-0.2624
RPL26	-0.70709914	-1.4362
GABPA	-0.2305452	-0.31550002
DEFB1	-0.95081455	-2.61185
MID1IP1	-1.6854815	-4.0837
MRPL13	0.38032022	0.94265
PNPLA3	-0.31604123	0.28265
ORC6	-1.6643482	-1.16565
GPRC5B	0.99399805	1.8288001
LIMS1	1.3813683	0.029649973
IBTK	-0.86090684	-4.73295
PTPN14	-0.020323977	3.4215999
CES1	2.241685	2.3889
SH2D2A	0.022154719	3.6535501
LANCL1	1.6316991	1.34045
WRN	-0.017930627	0.072
DRAP1	0.35984606	-0.021699905
CCDC85B	-0.7290135	-7.74265
APRT	1.5408492	0.2748
DLST	-0.63839674	-4.26935
ERP44	2.7762747	4.24415
PPARG	-1.9629925	-7.7938004
RNF13	0.9044343	1.0127001
SMARCA4	0.3668834	-2.10655
SULT4A1	1.4023639	3.1542
PPM1F	0.13619933	1.00625
FLT4	2.366833	6.6141996
MAFF	-1.9997504	-0.06494999
HMGCR	-0.3974289	4.24645
TSG101	2.6122992	1.02285
RPS6KB1	1.1111529	1.34265
MAGED2	1.5374191	0.00075000525
NELL1	-0.19497004	1.28685
APIP	2.4260855	1.6803501
HLA-DPA1	1.2944353	3.11755
HPSE	2.5003927	4.7241
LHFPL2	-1.2733239	0.1656
MANF	-0.1465775	0.38635
CLN6	0.9096918	1.17285
POU2F1	-0.21576726	0.3191
MIPEP	2.8904724	2.0089002
VAV1	0.9418705	3.42965
DOCK5	-0.41367447	1.2996501
NCOR1	0.37686127	-1.1189
TRIM37	0.17406207	1.76245
RHBG	0.6947601	2.0121
PSMC3	2.7454817	2.9138
SEC14L2	-0.31001163	0.09339997
IL12RB2	-0.58024836	2.87235
TRAF5	1.001648	0.8879
VPS11	-0.35892913	-1.0041499
WNK1	1.6514856	1.82955
FOXF2	-0.0904437	2.4777
NOP2	-2.544452	-3.7159
CSF3R	0.55687296	1.8857999
STC1	0.30729833	2.7606
LRRC8E	-1.538938	0.18579999
ZFP64	-2.3007588	-3.8774
CNOT8	1.0595537	0.59389997
EEF1A1	0.47855863	-1.4916
FUT3	1.2780548	1.4232
ITGAV	0.45473582	1.68345
MAP4K1	1.2316172	2.1814
RPL5	1.3989727	0.27695
TNFAIP8	0.10971603	-2.2611
VIP	0.9837285	3.1726499
ZNF281	-1.2468703	-0.14449999
TNFSF12	0.38984197	2.0244
TGFB2	0.40171584	1.44425
IL36RN	1.6422642	2.4736
TNFRSF1B	2.0443344	2.3364
SBNO2	-0.21626821	0.8499
RPL30	0.27630305	-1.11265
HSPA6	-1.7968497	0.27725
AGAP2	0.9429586	2.56035
MRPL24	0.10896388	-2.19675
HOXC13	0.004971817	1.6322999
MTAP	1.0877362	3.84175
OAS3	0.51884454	-0.41205
SLC26A2	1.0161786	0.39334998
SLC2A10	0.15087745	0.3758
SNF8	0.00020341761	-3.683
DNAJA1	-2.7283804	-4.1031
MED1	-2.9668398	-5.1813498
BNIP2	-0.4111605	-1.19925
LMNB1	-0.27301657	-3.49645
PRSS23	2.0858364	-0.48090005
BAG4	-0.058739096	1.7914
GRN	1.5036718	1.2258
TRAP1	1.3295134	7.1548
TTLL12	-0.85161924	-1.13145
AUH	2.0594783	1.4905
SLC27A5	0.6864462	-0.57375
ADCY8	0.4771256	2.7020001
TNFRSF1A	-1.7037897	-5.05905
RBM19	-0.26333666	0.5076
MEF2A	0.039105624	-2.4649
DEPTOR	0.31923383	1.4592999
PPP1R15A	-2.6137183	-1.2595501
MX2	-0.38621774	1.20175
UBP1	-1.7519264	-2.9945002
PDIA4	2.527116	3.25075
PIK3C2A	-0.5787147	-0.7176
STX1A	-2.9053774	-5.0879
CAPRIN2	-0.4919812	-0.0981
THADA	-0.18341067	-1.81775
CHN1	1.509248	6.63615
TP73	0.5735768	3.84175
CHD8	-2.2654216	-3.5353
GAL3ST4	0.9347316	4.95945
LAGE3	1.3552172	2.2772
CRH	0.3087129	1.27265
SLC47A1	-0.08836811	-0.27665
SHANK2	1.1610701	4.6331997
ALDH18A1	1.206801	0.6416
KDM4D	-0.065241426	1.3576
UFM1	1.2749542	2.3639998
LARP7	1.5039461	-0.13535002
ATP2B1	-0.2729497	-1.8033
PSMB7	0.8023908	-3.2765498
CYP2D6	2.2989707	6.8463
LMBRD1	2.8713253	3.52175
KCNS3	1.213497	3.0834
DNAJA2	-0.44461727	-0.892
S100A9	-0.16253835	-0.30805
CPD	0.061858326	0.0046499968
SNAP23	0.69217074	0.94380003
AP2A2	0.8648628	0.55215
AGO4	2.1785295	4.58745
PAPSS2	1.4043143	2.8906002
STIL	-4.216653	-5.4231997
MTF1	-1.807214	0.65120006
RASGRF1	0.43324792	2.6041
RYBP	-2.8945491	-2.6232
GAS8	0.7854241	4.15415
SET	0.5450323	-0.74625
CD81	0.2510522	-1.6615
GPT	0.6528426	2.7926998
ANOS1	1.1250981	3.5247502
ENO1	0.5060555	0.12135
ADH1A	2.1136713	3.5899
TTK	-2.1645505	-5.64625
KAT7	-2.5326095	-6.47155
SHMT2	1.8692497	1.43645
EFNA1	-0.45957044	1.1794
PTX3	-1.9092879	-1.7205
TAF6L	1.1977898	3.7034998
POU3F3	1.3925396	4.4859
MME	0.41998035	2.2504501
CAMK2B	0.5189495	0.94355
SLAMF1	0.37374476	1.7832
MLYCD	-1.0237983	-0.23910001
ENPP1	1.6453876	3.2263
TMBIM4	4.0045576	6.6451
HSD17B7	-1.1185905	-1.8064
GGH	0.85563064	2.8578
MAT2A	-6.0108356	-4.8649
HIGD1A	0.3782609	2.4819999
MAPK11	1.3505777	1.9993501
IFNGR1	-0.26997215	-1.0624
DDOST	1.6793998	5.9915
SCG2	1.8217072	5.992
EBP	1.2388548	-0.33945003
MN1	1.2637887	3.01775
ZNF335	0.21396577	1.8466
TAGLN2	0.37295693	2.0109
ADRA2A	0.10349921	0.25559998
MCTP1	-0.2915444	2.26385
AFG3L2	-0.31238723	-3.7003999
PACRG	2.3067753	4.4577503
MRPS11	-0.12185825	-2.2345
NLGN3	0.28101352	4.4317
UBXN6	1.2744871	3.7668
P3H2	0.7607765	2.97295
YTHDF3	-4.420933	-5.96375
RNF111	-4.5960755	-5.4625998
LDLRAD4	0.632886	0.2586
SORT1	1.9403791	6.9507504
FGF1	0.47087097	0.23605001
CCT5	-1.33458	-3.4695
TARBP2	0.6408039	-0.81724995
ATP2C1	0.6232541	6.76345
PDCD6IP	-0.8192876	-2.2873
USP22	-3.6387095	-10.0
MYOF	0.35167682	1.4243
CD86	1.507392	3.2182
SEMA4F	0.35057238	3.6238499
PPP1R11	1.6135423	2.2292
GNAS	0.3908338	1.7491999
CDK9	0.9681572	0.985
TUSC2	-0.42667457	-0.92440003
TMBIM1	0.86075294	2.4356
ING2	-1.4590955	-1.70455
FOXJ3	-4.71255	-9.42575
RPL4	-0.28530845	-2.6395001
SUPT3H	1.261289	2.50415
HSD17B14	2.7909794	2.6528502
GGA3	-1.4961131	-2.6936998
ZBTB48	-0.6336906	0.36360002
TNFRSF10B	-2.0139482	-6.1189003
SHTN1	0.24931796	1.93655
CXCR4	3.1194477	8.37655
CDH5	1.1590145	3.23805
MATK	1.8127046	3.22485
NCOA4	-0.779845	-2.6773
CCL5	0.53568375	3.38725
ATP2A2	-0.36837137	-0.15749997
PFKM	1.6605493	1.87065
SPEG	1.4412352	2.3938
SYNGR3	2.7537935	1.44845
BMP1	1.5991898	4.1347
ERG	-0.49571443	0.017750025
FH	2.0912097	0.0033500046
ARPC2	0.46099642	2.6171498
GHR	1.9600258	1.8645499
APLP2	0.97551453	0.15429997
BTD	2.0756195	4.1965
LMO4	-0.24960272	-1.0426
PRODH	0.80046415	2.60155
PLXNB2	1.0318246	2.13765
TGFB3	1.3505173	5.779
HAS2	-2.1474912	-2.46195
CDKN1C	0.09688102	-0.2531
CYP2C9	1.1231943	2.42205
HINFP	-0.3582206	3.3371
DSP	0.45477462	1.2783
MANBA	1.3326037	4.74305
PGLYRP4	0.76594234	5.2644997
RAB11FIP1	1.9991859	3.45365
IVD	1.1826818	2.1647
PILRB	0.9920127	3.5545
ERCC1	2.4915898	2.5815
NCOA1	-1.329422	0.677
PDCD10	0.18972757	-0.31759998
POLR2G	0.0983659	0.07075001
FKBP8	2.7698019	3.4973001
EGR2	-0.57590485	0.54415
EPB41L4B	-1.238369	1.45455
STK26	1.0454328	1.03835
CYB5A	0.7981938	0.97104996
TANK	1.4639554	3.32915
SELP	1.9062624	3.20785
INPP5A	-0.5003558	-1.2735
AASDHPPT	0.31788337	-1.9097
VCAN	1.8583751	1.4646
BTN2A2	1.9198008	4.5262
HMGN5	2.698663	4.63875
MOCOS	-1.4744966	-1.2193
CAPN7	-1.5054244	-2.2124
ABHD4	-0.8076073	-1.86795
LRRC15	1.5857215	7.20975
OSMR	0.80895215	1.31145
TBL2	-0.41984808	-2.9629998
PDK3	0.17864391	0.1788
ACTC1	0.67736727	1.5986
PIK3R5	1.7655255	4.7771
DLG4	1.1266277	1.6129
TPST2	1.5305268	3.3685
ADH1B	0.95988214	4.5014
DUSP22	-0.17532396	0.97515005
FLT1	1.9310242	5.39765
CLEC5A	2.0212817	3.7502499
PIK3R1	-1.3854975	-0.96000004
SORBS1	0.8117973	0.2515
IGFBP6	-1.702486	-3.2874498
TRIM27	-2.8187525	-3.3104498
KRT1	1.0160178	1.842
TOX	1.1494178	2.54985
PRKAG2	-1.0634431	-0.9977
DMTN	1.0430692	3.8189998
AGO3	-0.4421711	1.19545
CSRNP3	1.6550921	5.0536003
RAB27A	2.6185563	8.41535
SKAP1	0.39452344	2.7714
SEMA4C	-2.08978	-2.22915
TMEM63A	-0.15697423	1.6294999
SGMS1	0.00775713	-0.33175
APOBEC3C	-0.46751553	-1.90745
RPS19	0.33487332	-0.8919
ADAM17	0.40507883	1.64165
CX3CR1	-0.9841006	-1.20945
CCL11	0.7165392	4.08075
ERBB2	-0.5063871	-5.8356
UNC93B1	2.2157824	0.91290003
ITGB8	0.020385772	3.6151
PEA15	0.1514726	3.6005502
BAAT	0.6885371	3.9243002
LGR4	0.38062552	-0.4975
ARL2BP	1.1447344	6.9684
ATP8A1	0.16885388	-1.0276
PABPC4	-0.38094842	0.30440003
USP9X	0.24740258	-1.561
SMARCD1	-1.9984916	-2.6778002
TPD52L1	0.5350527	-0.73235
DDX41	1.0289358	2.5290499
NAALAD2	2.2522657	3.22925
GLRX2	-1.0579165	-1.8766
CLCF1	-2.5413892	-4.6025
SLC4A4	0.60882586	0.2747
FOXO1	0.31210968	1.3378999
ACTN2	0.5438469	3.40525
LY96	0.33387294	2.68845
PCYT1B	2.0501502	5.2521
SEPHS1	-0.6104908	-1.4619
VNN2	-0.06596123	1.0139
NRAS	2.9382217	9.79935
PAF1	0.8697364	1.2121
MAP3K12	2.7474387	2.36325
S100P	-0.83544743	-2.4585
RPA2	0.3219649	-0.15805
UBR5	-2.7577531	-3.6104999
LRRFIP1	1.9997178	1.3929499
CCDC59	-2.291714	-6.3637
ESD	2.165671	-1.24475
POR	-0.32954153	-0.44905004
BACE2	0.91865724	2.09315
CD53	0.42213473	2.1396499
CST7	-0.3639459	2.24325
NFS1	0.2585184	-2.0928001
HDAC4	-1.0923426	-1.9070499
IL18R1	0.014089227	4.3938
WASL	-1.4840198	1.04415
SCD	1.0383544	1.5394001
FXYD5	-0.14389615	-1.2430999
SPTAN1	-1.3781681	-5.39635
SREBF1	0.89164317	-0.68745
PEX14	-1.0104058	1.4064
SNAI1	0.5022753	2.95645
BNC1	0.37258202	4.612
AK4	-0.49512547	-0.92674994
BMP2K	1.1540518	3.2151499
ST6GAL1	0.74711615	2.1698
GOT2	-0.07029125	1.1173
RALB	-0.4264805	0.15680003
GATA4	0.5618353	0.83825
CAND2	1.5906287	2.90785
MITF	-0.30113915	-2.1912
GCNT1	-0.91143596	-3.01115
PTN	1.093814	0.7923
FZD10	-0.17972615	1.80585
SOS2	-1.0408803	0.032850027
RPL22	-0.39976755	-1.01685
RBM25	-1.9494462	-3.3414998
TERF2IP	-0.4792162	1.2572501
GAREM1	-2.4736488	-2.207
RFPL2	0.4682455	4.1542
HES1	-2.686582	-3.1763
AP2M1	0.6410925	-0.7294
RGS2	-9.304838	-10.0
DHPS	0.92057323	-0.2783
DROSHA	0.58563703	-2.56175
NLK	-0.11690463	1.0394
CSGALNACT1	0.010145754	-3.2509
INPP5F	0.50459296	0.8238
RBP4	0.5657438	1.7796
IRF1	-1.1574658	2.6889
CD160	0.77303547	3.3629
TLR8	1.1987126	2.6889
ABCB7	2.217316	1.8531
XRCC5	2.0828846	0.27669996
TP53BP1	-1.1578122	1.9437
CARD8	-0.076248094	3.97365
KEAP1	-6.995236	-8.06975
BASP1	-1.4519833	-2.5455499
PGRMC1	1.2340554	3.045
CASK	0.3677107	-2.3844001
TF	1.1547986	3.43575
CXCL8	-2.4275858	-1.96
ZBTB7B	0.5212222	4.91465
CALB1	-0.06282609	-0.61109996
KHK	1.45649	2.53855
RPS6KA2	0.9714913	2.76755
PAK3	-0.06964147	2.50265
ADORA3	0.7858454	1.63635
MAN2B1	0.44281024	3.80345
CDC73	-0.8451982	0.82585
GRB7	1.2799028	3.6907
HMOX1	-1.28534	-8.39105
DUS2	0.6861173	0.89304996
GPC1	1.7348232	6.4994
COLEC12	2.553703	5.0753
CYP27A1	0.36613658	3.742
SLC1A3	0.34307584	1.2940999
RUFY3	-0.92127097	1.1046
B4GAT1	-1.2688292	-5.3557
DYSF	0.81834406	2.209
PIK3R4	-0.036576778	-2.86445
CTSW	-0.32423156	0.15484995
B3GNT4	0.3466757	3.36825
STAP2	1.9868071	5.30685
ACTB	0.8900262	-1.5943501
PSMD11	-1.5151339	-5.37805
SPEN	-1.0168316	-1.9834
DYNC1H1	-0.8026663	-2.3651
GAP43	1.1884594	2.76925
FADS2	0.9317681	0.14
ARRB2	2.2732074	3.5099
PSMA6	1.8013391	-1.6041499
BAG2	-0.14261726	-2.29735
PI3	-1.212385	-3.0691
TRIM5	1.5497003	1.8278
TMEM59	2.0317578	4.77245
SUZ12	-2.8562376	-3.5755
DCTN1	2.657794	4.37875
AXL	-1.306737	-2.16115
RPS4X	0.6576622	-0.78915
ASAP1	-1.5243152	-3.7351
KDELR3	0.62983865	-2.13135
TBX6	1.2005262	4.74265
NPM1	1.694377	-0.5407
BHLHE41	-0.2971	0.29205
EFNA4	-1.9380821	-0.34795
MRPS15	2.9373047	2.83355
TSPO	-0.6915952	-1.0963
BAX	2.8210833	1.0839
AXIN1	-2.0701537	1.40695
KMO	-0.07815181	1.9193499
CHST2	-0.60594404	-0.56785
MMP3	0.30958927	1.79695
GJA1	1.4047983	2.6455
SLC44A4	-0.63113976	0.11960001
PCK1	2.0678968	4.6207
EFS	0.36538345	2.98285
SAMHD1	0.15594392	0.9375
TSPAN6	0.5503279	1.5763
CCL13	2.02299	0.42005
YWHAZ	1.2490076	3.2136998
CIDEC	0.85741186	1.9728999
RELA	-2.0514488	-3.7929502
CAPN3	0.948612	0.6167
ACTR1B	2.259807	2.2818499
ITPR2	2.1867862	3.22925
KAT6B	-4.2954803	-9.285851
ERN1	1.3404086	5.1595497
AQP1	1.9133626	4.70045
FRMD4A	-0.24034207	-0.10079998
SDHA	1.1914343	1.89955
TRPC1	1.9915668	3.24925
ATF3	0.44477418	5.5281496
ATP1A2	1.2221487	1.25185
SRF	0.25168622	1.77915
ITGB1	0.009581864	2.19725
IFI35	2.936241	3.3959
HPGD	0.1631635	0.10425
RPS8	0.55518144	-0.21784998
IL6R	-2.111157	-1.4523001
IKBKE	-1.2829384	-0.54185
PKIA	1.9513414	2.50305
RORC	1.1784348	5.93985
USP19	0.019349292	1.039
F2R	0.8541871	1.475
BANF1	0.551139	-1.3942499
PTPRZ1	0.37983382	3.296
TAOK3	-1.0143151	-2.8197
CTBP2	-1.2106546	-2.09405
TFIP11	-0.9550928	-4.73805
PSMD9	0.41976538	-0.74745
ATP10A	0.13188744	0.2609
TFAP2A	0.49493808	3.1610498
RPN1	1.8203943	-0.25075
CKLF	0.0961609	1.2551
ATP11A	0.46143082	2.177
MMP12	1.439255	3.49685
F10	1.9921998	1.7506001
RNF187	1.017205	0.0100500025
KLF4	-0.813148	-3.4417999
ANKRD49	-0.28629455	0.41825
NAB2	-0.49179047	0.51455
PRKAB2	0.42699325	2.92725
SMARCD3	0.9838647	2.0420501
E2F2	1.5074853	4.15685
NRL	1.1788328	3.4435
HLA-DQB1	0.8872754	0.87815
IQCB1	1.0147161	3.12255
PLA2G2A	0.16050376	1.3397499
SS18L2	-2.4623165	-3.76115
CLEC16A	0.26002297	0.99335
MORC3	-2.922032	0.4621
ITGB1BP1	2.2039251	3.7047
PTOV1	-0.44930583	-4.50695
IMPDH2	-0.05860965	-2.2097
CERS4	1.6832852	1.76105
ACAT2	1.77018	4.1788
GNE	-1.8626506	-3.72635
P2RX4	2.5259812	3.07425
ZNF580	1.4651822	1.3490499
SRPX2	0.8136905	2.58885
ITGA4	1.1903223	5.2966003
MRPL28	0.5960542	1.8743501
TFB1M	-1.9689679	-4.1674
OSER1	-0.9474744	-2.7106
NHLH2	0.4653007	4.0226
ETHE1	0.7920282	1.3876
UCHL1	0.4642343	2.41435
NDNF	0.32872206	3.1559
RPL24	0.399076	-1.2774
DUSP6	-6.040021	-8.178101
CCND1	-2.2963095	-1.3572
FPR1	0.6700831	1.4238999
DDR2	2.034151	5.46525
MRPS12	0.03970366	-2.38205
CTCF	-3.0485435	-3.79915
UNC5B	1.1072369	4.27035
MLX	-1.3194001	-2.18405
FOXJ1	2.4280796	4.8396997
STIM1	0.2756058	1.35145
FOXK2	-1.657209	-1.5088
ERBB3	0.08199289	-1.2932
GPX7	0.12318148	1.7991999
EMILIN1	1.9980233	2.25985
SAMD4A	-0.7039943	-1.3942001
TGFBR1	-0.32770014	0.055099994
RAB31	0.95341456	7.83465
SEMA4A	0.3307135	2.19385
NCAM1	-0.06595402	2.53085
PRMT2	0.5785006	3.7599998
RAP1B	0.14106975	0.7145
ING1	-1.7736077	-2.479
DAPK2	2.1508095	4.1211
SHOC2	-1.7239363	-3.73635
WBP2	0.14932477	2.29745
GSTM4	0.5293573	5.3322
GLS	0.04369708	1.1198
STX2	0.4800108	3.02255
PTPRN2	-0.0141424835	-0.26415002
PTPN11	0.27976644	0.078049995
RNH1	0.4355129	1.8998001
CNBP	3.5640006	4.9397497
LAMTOR5	1.367487	3.64725
MLLT10	-1.2242813	2.2361
IL18RAP	0.40482765	3.5142
SGCD	1.7787755	4.2025
RPS13	0.4523358	-1.7636
FABP4	0.5187677	1.9047
HDAC1	0.3788603	-2.0525498
SARDH	1.390656	4.1053
ACSL3	-0.20467758	-1.6416999
LPAR1	-0.5792036	-1.4671501
GNL3L	1.4410404	3.9939
RIMS2	1.2475965	2.56995
STXBP5L	1.912303	4.80505
PHLDA3	-1.1899309	-1.4844
EPHA5	1.2074695	3.9847002
PTPN18	-0.26934153	-0.20875
S100A4	1.1303542	3.0349998
NAMPT	-2.0493548	-0.92085004
SRBD1	-0.40122002	-0.16065001
P3H3	0.8295247	2.13855
YWHAH	0.89730734	1.2554
LYL1	0.3936174	1.50155
FCER1G	0.9645404	2.88255
FBXO5	-2.7380483	-3.4036999
MLXIP	-0.67047733	-2.00165
RRAGB	1.0863224	4.86385
AGTR1	0.474866	1.0885
APBB1	2.1613207	3.0337
NFE2	0.5228076	2.2014
MYCN	-0.7384924	1.77325
BMPR1A	-0.9673343	-2.23425
ALDH1A3	-1.7226945	-2.83035
ACLY	2.9939659	2.4757001
RTN1	0.5271977	4.09455
SUMO3	-0.7036743	-0.38505
MED6	-0.948954	-5.4512
KLKB1	1.876445	4.7927504
ZFAND6	-0.1297079	-3.6002002
IL17RA	0.44859797	1.7729
TAB2	-1.7385824	-5.4359503
PLAC8	-0.55713123	-2.44575
OSBPL8	-0.22576606	-0.59155
CH25H	-1.012465	-0.6559
FOSL2	-1.4850671	-1.2191501
ADRA2C	1.1094713	3.8896499
P2RY10	1.2585548	3.5936
SSBP3	0.22657841	1.6818
WDR61	3.9420323	0.23014998
NCF4	1.8316692	4.54585
PANX1	-0.7381579	-1.3199999
GSK3B	-1.59277	-2.4483
MMP2	1.255064	4.6898003
SPR	1.0610179	-2.5633001
CLASP1	-0.82480586	0.243
ALDH1A1	0.11813452	-2.54665
ACSBG1	-0.40298128	-0.016200006
DYNLL1	0.93838084	-1.51585
RIMS3	2.0431685	2.6664
FBN1	2.8200498	5.4177
SERPINB1	-0.08862838	0.17435
MAP3K5	-0.45651233	-0.837
RHOF	-1.4328309	-6.79345
MAPRE1	-0.42082295	-0.322
GRB14	1.1850247	1.0284
G6PC3	1.5544206	0.6498
LMTK2	0.82976234	3.56425
NRG1	-2.105605	0.020200014
ACVR1B	-0.17918481	-1.122
CTDSP2	-0.74675477	-0.0018000007
PIPOX	0.2087303	1.73455
PGK1	2.3851678	2.90305
ADAM15	1.6318207	1.18055
EHHADH	0.23159438	-0.98725
THBS2	2.4140215	6.96665
CSRNP2	-1.5616485	2.2484
CSK	-1.6125755	-5.3431997
PCBP1	0.026834149	-1.06505
FZD4	-0.7112744	2.1344
CDIP1	0.84884155	4.8094997
NEDD4	0.4477645	0.76825
STARD7	-1.4357898	-2.2807
VAMP7	3.177308	5.23825
TP53I3	1.4511809	3.08945
ADAMTS8	-0.2499083	4.00315
PPP1R13L	-1.2638204	-0.21435
MFHAS1	0.5557105	-0.87149996
GNA13	0.10368752	0.3846
PKN2	-1.4557191	1.196
ACAA1	1.1610484	-0.49829996
PABPC1	0.2498778	-0.80525
STXBP1	0.15593125	-2.6953502
MOAP1	-1.6286745	-2.555
CRKL	0.27070203	1.7061
PDE8A	0.86700577	3.23285
AVEN	1.3436105	2.52265
PHYH	1.0298253	-0.8441
TP53	1.8562629	5.35075
KCNMA1	-0.4614014	1.5422001
ROCK2	-0.17227794	2.4654
VSIG4	1.4493736	4.2459497
SASH1	-1.7262518	-2.4948502
TNK2	0.03373705	1.36005
TXNRD2	1.3827134	1.8728
IL1R2	0.25006896	-0.8029
MET	-0.59073985	-1.22305
UCP2	1.4680244	2.1308
SOX3	2.0476055	5.8754
FOXA1	-0.26988077	-1.74595
SMAD3	-5.5747547	-5.50255
VEGFB	1.4765551	4.537
BCAN	0.72952354	3.394
RNF41	0.44428	0.15359998
VDR	0.52436066	1.51555
SPTLC1	0.4267905	-0.6757
TGM3	0.73615766	2.9428
PAWR	0.6505784	2.8123
ANXA5	0.40992305	-3.1492
CYP11A1	-0.3262519	1.1212499
DSCAM	-0.29471087	2.05725
NR6A1	1.4341694	5.1371
HOMER1	-2.9374323	-2.78445
PCMT1	1.4482275	-5.4498997
WNT6	1.5139625	5.0436
EPCAM	0.9209176	2.6719
RARB	0.24048766	1.8634
GOLPH3L	-1.8070979	-2.9391
DBP	-0.024518497	0.2343
DDB1	0.77104354	-0.38715
NR4A2	-0.53028023	3.02345
CD40	0.6664471	3.72675
CCNB1	-1.2124146	-2.7418501
COMP	2.212722	1.6067
PANK2	-1.5863509	-4.2816496
NCKAP1	1.1659268	3.69425
FOXP3	1.047514	4.01265
SETDB1	-0.9147153	0.77305007
HYAL2	-0.33496425	1.9174
DXO	0.19471097	3.2199497
ACSL1	-1.2969866	-1.4063499
MAP3K4	-6.035535	-8.196199
HDAC9	-0.40156442	2.38605
TSPYL5	-0.67908984	-3.2235
ACOT11	1.8542416	5.43435
TET3	0.2497555	2.17385
MAP3K11	-0.14114946	1.0255
IL6	-1.2094939	-0.056849986
CEACAM6	1.2082845	-0.31035
APOL2	0.5072449	-2.54205
PTGER3	2.2294085	2.6950002
WNT5A	0.42368284	1.52
ASF1A	-0.8819377	-2.8363
STMN1	1.234103	2.46345
IL32	-0.4104656	1.58425
ZNF711	0.8142002	4.2132998
AASS	1.5881159	2.8259
CSF1R	0.97492987	1.53545
TAF1D	-3.2574713	-1.59595
NFIB	-0.6715677	-1.5608001
BORA	-1.7532309	-2.88605
AKAP13	-0.41727433	0.69555
TIA1	1.2433593	2.74235
FAF1	-0.056895133	-1.14535
TCF21	0.78518784	4.991
PDK2	1.9594646	1.1367
SLC7A1	-1.1874622	-3.73
RAMP1	1.73661	-1.6366
DEPDC5	-0.20928265	1.1026001
DDB2	1.7441547	1.49685
FMOD	1.5008138	1.8187001
USP10	-1.9847072	-1.29365
LDB2	1.6467394	2.6569
ACAD10	3.131614	4.9734
SCG3	1.1627836	2.70735
URI1	0.76941454	2.7096
FGF7	1.0933963	2.9117
TRIM52	0.982892	2.6864
ADAMTSL4	1.3074923	3.88895
DFFA	0.98671854	4.42495
AKT1	0.10664077	2.5485
HDC	0.3028027	2.0528
COL4A2	0.647403	1.0309501
TECR	0.7009236	-0.47085
AREL1	-1.8584671	-5.87075
UBE2D1	-0.45728806	-1.52115
HNRNPK	-0.60464513	1.21585
PHLPP1	-2.247562	-1.40825
FBP1	0.68993235	1.82775
VTI1B	1.4277103	0.38315
VGF	0.7226187	4.1896
TGFA	-0.53552717	2.31005
HADHA	0.17081447	-1.4839
VAMP3	-0.3339218	0.33345
TNFSF9	-1.8035576	-3.85565
SIGLEC1	1.7680919	2.7724
SUN2	-0.7047137	-0.16335002
CALHM2	0.6486491	0.25354996
PTGER2	0.9820833	-0.23250002
CADPS2	0.8797985	1.1128
GM2A	1.2534443	1.721
PRKAR2B	1.0242028	4.34665
FDX1	0.5945944	2.1068
BMP4	0.8743907	5.09785
CAV2	0.5378325	3.0355
PARD3	-0.590843	-1.30105
NLRP2	1.0495236	3.3217
IRF9	-0.52326876	1.921
PPIE	-0.3370949	-1.27925
IL11	-0.6612921	2.0188
GOLGA7	1.0741303	-1.0908
LIG4	0.26754212	-0.0693
DHRS3	1.6725712	2.4688
CKAP4	0.35838503	-0.57404995
INA	2.272663	5.10995
TNNI3	1.5671549	4.39135
NDUFS4	0.71629107	3.0680501
PBRM1	0.55572975	0.65505004
DVL1	-1.3198625	-1.8607
MLST8	1.049466	-1.3261
TRIP6	-1.206765	-2.2011
SP3	-1.1393394	-1.77285
DDR1	0.48535407	6.3351
CAAP1	-0.9647812	0.36904997
SSH1	-1.6692948	-3.4063501
CPT2	1.9583399	3.1974
CISH	0.6846165	3.9284
CMTM6	-2.1339998	-1.9298
ETS2	-2.3002775	-1.23295
SLC35A2	0.25435978	-2.2982001
HEXB	1.8396409	3.9279
DUSP1	0.558761	4.1995
IL2RA	1.7390761	4.93005
ADORA1	-0.016358823	2.31805
PAOX	1.71789	1.98005
RUNX1T1	2.208987	4.97785
EIF6	0.19479442	-2.1820502
